,mat_time,interest_rate_time,gdp_time,uer_time,FICO_orig_time,LTV,HPI,balance,gdp,payoff_time,investor_orig_time,default_time,gdp
69,mat_time_G2,interest_rate_time_G1,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G2,balance_G1,gdp_time_pos,0,0,0,gdp_time_pos
70,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G3,balance_G3,gdp_time_pos,0,0,0,gdp_time_pos
71,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G2,balance_G2,gdp_time_pos,0,0,1,gdp_time_pos
72,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,0,0,1,gdp_time_pos
73,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G3,balance_G2,gdp_time_pos,0,0,1,gdp_time_pos
74,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
75,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
76,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
77,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
78,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
79,mat_time_G2,interest_rate_time_G1,gdp_time_G1,uer_time_G1,FICO_orig_time_G2,LTV_G2,HPI_G2,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
80,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G2,balance_G1,gdp_time_pos,0,0,0,gdp_time_pos
81,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G2,balance_G3,gdp_time_pos,0,0,1,gdp_time_pos
82,mat_time_G2,interest_rate_time_G1,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
83,mat_time_G2,interest_rate_time_G1,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
84,mat_time_G2,interest_rate_time_G1,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
85,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G2,balance_G1,gdp_time_pos,0,0,0,gdp_time_pos
86,mat_time_G2,interest_rate_time_G1,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
